filename,size_mb,id_name,status,odoo_main,fm_main,safe_to_delete
"BLAIJE-48887_Oui, 2022.psd",507.8,BLAIJE-48887,in stock,BLAIJE-48887.jpg,BLAIJE-48887.jpg,OUI
"BLAIJE-48899_Ensemble (Noir), 2023.psd",500.2,BLAIJE-48899,in stock,BLAIJE-48899.jpg,BLAIJE-48899.jpg,OUI
"BLAIJE-48910_Ici !La!, 2023.psd",502.7,BLAIJE-48910,in stock,BLAIJE-48910.jpg,BLAIJE-48910.jpg,OUI
"BLAIJE-48911_Woodcut, 2023.psd",506.7,BLAIJE-48911,in stock,BLAIJE-48911.jpg,BLAIJE-48911.jpg,OUI
"BLAIJE-48914_Summer, 2023.psd",519.4,BLAIJE-48914,in stock,BLAIJE-48914.jpg,BLAIJE-48914.jpg,OUI
[BOTEFE-53591]_Untitled_2007_FRAMED.tif,989.9,BOTEFE-53591,in stock,BOTEFE-53591.png,BOTEFE-53591.png,OUI
[BOTEFE-53591]_Untitled_2007_VERSO.tif,711.7,BOTEFE-53591,in stock,BOTEFE-53591.png,BOTEFE-53591.png,OUI
[BOTEFE-53591]_Untitled_2007_RECTO_2.tif,553.9,BOTEFE-53591,in stock,BOTEFE-53591.png,BOTEFE-53591.png,OUI
[BOTEFE-53591]_Untitled_2007_VERSO_FRAMED.tif,736.8,BOTEFE-53591,in stock,BOTEFE-53591.png,BOTEFE-53591.png,OUI
"BRASAN-49155_Bouquet au miroir, 1985, FRAMED.tif",522.9,BRASAN-49155,in stock,BRASAN-49155.jpg,BRASAN-49155.jpg,OUI
"CALDAL-49187_Caged Stone on Yellow Stalk, circa 1955, 1.tif",633.5,CALDAL-49187,in stock,CALDAL-49187_MAIN.jpg,CALDAL-49187.jpg,OUI
"CALDAL-49187_Caged Stone on Yellow Stalk, circa 1955, 2.tif",789.8,CALDAL-49187,in stock,CALDAL-49187_MAIN.jpg,CALDAL-49187.jpg,OUI
"DERARE-42446_Spring Snow Hunt, 2019.tif",745.5,DERARE-42446,in stock,DERARE-42446.jpg,DERARE-42446.jpg,OUI
[DUBUJE-54215]_Portrait_de_femme_à_la_campagne_1974_RECTO.tif,556.4,DUBUJE-54215,in stock,DUBUJE-54215.jpg,DUBUJE-54215.jpg,OUI
"MATHGE-45711_Li Duan, 1967 front.tif",577.8,MATHGE-45711,in stock,MATHGE-45711.png,MATHGE-45711.png,OUI
[TAPIAN-54222]_Maquette_pour_l_affiche_de_la_rétrospective_du_Jeu_de_Paume_1994_RECTO_2.tif,806.2,TAPIAN-54222,in stock,TAPIAN-54222.jpg,TAPIAN-54222.jpg,OUI
"VALDMA-46133_Cabeza Blanca con Aretes Azules, 2021 2.tif",519.3,VALDMA-46133,in stock,VALDMA-46133.jpg,VALDMA-46133.jpg,OUI
"VALDMA-46133_Cabeza Blanca con Aretes Azules, 2021.tif",519.3,VALDMA-46133,in stock,VALDMA-46133.jpg,VALDMA-46133.jpg,OUI
"VALDMA-46133_Cabeza Blanca con Aretes Azules, 2021, SIDE.tif",519.3,VALDMA-46133,in stock,VALDMA-46133.jpg,VALDMA-46133.jpg,OUI
"VALDMA-46140_Infanta Margarita Coonstructivismo I, 2021.tif",519.3,VALDMA-46140,in stock,VALDMA-46140.jpg,VALDMA-46140.jpg,OUI
"VALDMA-46141_Reina Mariana Constructivismo I, 2021.tif",519.3,VALDMA-46141,in stock,"VALDMA-46141_Reina Mariana Constructivismo I, 2021.tif",VALDMA-46141.jpg,OUI
"VALDMA-46143_Infanta Margarita Constructivismo II, 2021.tif",519.3,VALDMA-46143,in stock,VALDMA-46143.jpg,VALDMA-46143.jpg,OUI
"VALDMA-46240_Constructivismo como Pretexto Azul y Rojo, 2021.tif",519.3,VALDMA-46240,in stock,VALDMA-46240.jpg,VALDMA-46240.jpg,OUI
"*GRACEFUL RED HUNT. OIl & tar on canvas. diptych, 200x280 cm overall. 2018-2019.tif",746.5,,?,—,—,NON
WILEY_Portrait of Lay Pouleyy_2020_403135.tif,687.0,,?,—,—,NON
"Cartoon Folding Screen, 2018 (Polyptych).mp4",1067.9,,?,—,—,NON
